r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,43479,1583509,76/64/12/85,0/-1/-1/0,232/1741/34/228,165/616/-238,0/0,1402/2196/-13180,-591/381/335,135/33/714,#l_sk
r,43480,1583543,76/64/12/85,0/0/-1/0,227/1974/28/228,165/616/-238,0/0,1416/2110/-13203,-580/380/311,135/33/714,#l_sk
r,43481,1583577,76/64/12/85,0/0/0/0,226/2240/16/228,165/616/-238,0/0,1402/2086/-13202,-550/368/295,135/33/714,#l_sk
r,43482,1583609,76/64/12/85,0/0/0/0,230/2226/230/228,165/616/-238,0/0,1324/2050/-13164,-504/346/284,135/33/714,#l_sk
r,43483,1583644,76/64/12/85,0/0/0/0,230/1992/495/230,165/616/-238,0/0,1338/1950/-13036,-467/343/266,135/33/714,#l_sk
r,43484,1583679,76/64/12/85,0/0/0/0,228/1991/499/229,165/616/-238,0/0,1424/1795/-12889,-438/348/230,135/33/714,#l_sk
r,43485,1583719,76/64/12/85,-10/0/-1/0,-239/1992/449/227,166/616/-238,0/0,1508/1616/-12634,-388/339/196,135/33/714,#l_sk
r,43486,1583758,76/64/12/85,-39/0/0/0,-250/1992/456/230,167/615/-238,0/0,1540/1538/-12466,-359/340/183,134/33/713,#l_sk
r,43487,1583798,76/64/12/85,-56/0/-1/0,-273/1992/457/228,168/615/-238,0/0,1504/1418/-12450,-353/342/182,134/33/711,#l_sk
r,43488,1583839,76/64/12/85,-45/0/-1/0,-335/1991/154/230,170/614/-238,0/0,1556/1244/-12390,-330/339/167,134/34/709,#l_sk
r,43489,1583877,75/64/12/85,-67/0/0/0,-356/1992/257/229,173/613/-238,0/0,1682/1240/-12332,-325/341/155,134/35/706,#l_sk
r,43490,1583910,75/64/12/85,-104/0/1/0,-369/1991/491/230,174/613/-238,0/0,1736/1404/-12294,-328/338/163,134/35/705,#l_sk
r,43491,1583945,75/64/12/85,-108/0/2/0,-397/1991/518/230,178/611/-238,0/0,1784/1438/-12242,-324/334/158,134/36/701,#l_sk
r,43492,1583980,74/64/12/85,-122/0/0/0,-405/1990/515/224,182/610/-238,0/0,1876/1170/-12248,-319/328/118,133/37/696,#l_sk
r,43493,1584019,74/64/12/85,-149/1/0/-10,-416/1977/279/-219,187/608/-238,0/0,1874/1118/-12004,-254/291/124,133/38/691,#l_sk
r,43494,1584060,73/64/12/85,-178/9/0/-18,-484/2229/274/-256,193/605/-238,0/0,1645/1436/-11842,-217/256/227,132/40/684,#l_sk
r,43495,1584099,72/64/12/85,-155/16/0/-16,-484/2263/279/-264,199/603/-237,0/0,1418/1288/-12048,-250/266/270,131/41/677,#l_sk
r,43496,1584139,72/64/12/85,-185/11/0/-20,-472/2268/344/-272,206/600/-237,0/0,1462/1252/-12008,-228/255/246,130/42/669,#l_sk
r,43497,1584179,71/64/12/85,-181/20/0/-21,-504/2243/343/-262,212/597/-236,0/0,1524/1488/-11728,-173/209/278,129/44/661,#l_sk
r,43498,1584219,70/64/12/85,-226/29/0/-13,-515/2315/342/-289,220/594/-235,0/0,1504/1610/-11862,-218/231/304,127/45/653,#l_sk
r,43499,1584259,69/64/12/85,-209/45/0/-12,-533/2302/344/-267,228/591/-233,0/0,1460/1616/-12030,-253/238/328,125/47/645,#l_sk
r,43500,1584299,68/65/12/85,-184/46/0/-7,-547/2272/344/-278,235/588/-231,0/0,1318/1834/-11782,-188/186/385,123/48/636,#l_sk
r,43501,1584340,68/65/12/85,-197/51/0/-5,-539/2374/343/-224,242/585/-228,0/0,1320/2016/-11826,-220/191/420,120/49/628,#l_sk
r,43502,1584379,67/65/12/85,-210/101/0/-4,-544/2361/343/-232,250/582/-225,0/0,1334/1787/-11972,-244/200/397,117/49/619,#l_sk
r,43503,1584419,66/65/12/85,-229/105/0/0,-500/2397/344/-236,257/579/-221,0/0,1384/1534/-11940,-213/180/356,113/49/611,#l_sk
r,43504,1584459,65/66/12/85,-213/105/0/0,-532/2424/342/-227,265/577/-217,0/0,1288/1654/-11718,-156/133/409,109/49/603,#l_sk
r,43505,1584499,64/66/12/85,-186/102/0/0,-548/2398/345/-227,272/574/-212,0/0,1174/1650/-11916,-210/156/425,104/49/594,#l_sk
r,43506,1584531,64/67/12/85,-169/96/0/0,-566/2410/344/-230,276/572/-210,0/0,1038/1836/-11912,-229/152/486,102/49/590,#l_sk
r,43507,1584565,63/67/12/85,-169/122/0/0,-516/2468/342/-229,283/570/-204,0/0,1070/1798/-11878,-228/148/473,97/48/582,#l_sk
r,43508,1584599,63/68/12/85,-153/133/0/0,-538/2546/345/-233,290/567/-198,0/0,1168/1742/-11914,-240/152/443,91/47/575,#l_sk
r,43509,1584631,62/68/12/85,-194/163/0/0,-502/2506/345/-230,294/566/-195,0/0,1140/1764/-11860,-234/144/457,88/46/571,#l_sk
r,43510,1584665,61/68/12/85,-169/153/0/0,-558/2563/345/-230,300/563/-188,0/0,978/1676/-11956,-260/153/479,82/44/563,#l_sk
r,43511,1584699,61/69/12/85,-149/160/0/0,-541/2573/345/-226,307/561/-180,0/0,897/1695/-12102,-304/177/494,76/42/555,#l_sk
r,43512,1584731,60/69/12/85,-169/174/0/0,-507/2564/345/-229,310/560/-177,0/0,824/1782/-11870,-252/137/520,73/41/552,#l_sk
r,43513,1584766,60/70/12/85,-180/165/0/0,-507/2545/343/-229,316/557/-169,0/0,976/1895/-11764,-254/136/492,67/39/545,#l_sk
